,vid,HG03453,HG01891,HG02559,HG01978,HG00673,HG00741,HG02486,HG00735,HG01258,HG01106,HG03516,HG03579,HG01123,HG03540,HG02622,HG02717,HG01928,HG01952,HG02572,HG02148,HG01358,HG02886,HG00438,HG01175,HG02630,HG00621,HG01361,HG02257
50353,50353.0,43.0,42.0,50.0,53.0,41.0,48.0,50.0,49.0,32.0,39.0,33.0,45.0,47.0,49.0,49.0,47.0,33.0,62.0,44.0,49.0,47.0,43.0,48.0,47.0,36.0,42.0,46.0,48.0
50411,50411.0,47.0,41.0,53.0,45.0,37.0,42.0,52.0,50.0,40.0,40.0,33.0,39.0,44.0,44.0,54.0,47.0,39.0,40.0,31.0,50.0,54.0,31.0,43.0,36.0,36.0,47.0,58.0,38.0
50462,50462.0,39.0,45.0,42.0,31.0,37.0,40.0,30.0,45.0,33.0,36.0,42.0,47.0,38.0,42.0,45.0,38.0,47.0,33.0,28.0,47.0,35.0,30.0,34.0,34.0,30.0,36.0,40.0,31.0
50640,50640.0,33.0,17.0,35.0,42.0,30.0,40.0,29.0,50.0,44.0,33.0,35.0,41.0,23.0,34.0,41.0,22.0,47.0,42.0,26.0,38.0,36.0,24.0,34.0,30.0,40.0,39.0,45.0,36.0
50794,50794.0,28.0,43.0,43.0,32.0,50.0,40.0,51.0,56.0,46.0,48.0,39.0,26.0,44.0,36.0,40.0,47.0,36.0,46.0,35.0,53.0,46.0,32.0,56.0,33.0,37.0,37.0,49.0,38.0
50817,50817.0,48.0,37.0,36.0,44.0,48.0,32.0,46.0,57.0,54.0,41.0,48.0,36.0,40.0,55.0,44.0,64.0,50.0,43.0,36.0,45.0,43.0,26.0,41.0,34.0,39.0,39.0,38.0,49.0
50893,50893.0,42.0,36.0,37.0,43.0,45.0,37.0,46.0,37.0,45.0,45.0,41.0,48.0,42.0,43.0,49.0,42.0,34.0,42.0,41.0,38.0,31.0,31.0,54.0,32.0,32.0,47.0,47.0,53.0
50894,50894.0,42.0,36.0,36.0,43.0,45.0,37.0,46.0,37.0,45.0,45.0,41.0,48.0,42.0,43.0,48.0,42.0,34.0,41.0,41.0,38.0,31.0,30.0,54.0,32.0,31.0,47.0,47.0,53.0
50895,50895.0,42.0,36.0,36.0,43.0,45.0,37.0,46.0,37.0,45.0,45.0,41.0,48.0,42.0,43.0,48.0,42.0,34.0,41.0,41.0,38.0,31.0,30.0,54.0,32.0,31.0,47.0,47.0,53.0
50898,50898.0,42.0,35.0,36.0,42.0,45.0,37.0,46.0,37.0,45.0,45.0,41.0,48.0,41.0,43.0,48.0,43.0,34.0,40.0,39.0,38.0,32.0,31.0,54.0,32.0,31.0,47.0,47.0,53.0
50909,50909.0,37.0,40.0,40.0,40.0,38.0,55.0,39.0,39.0,51.0,35.0,40.0,33.0,53.0,47.0,54.0,49.0,32.0,33.0,32.0,41.0,45.0,41.0,39.0,37.0,31.0,40.0,42.0,30.0
50910,50910.0,38.0,40.0,40.0,40.0,38.0,55.0,40.0,39.0,52.0,36.0,40.0,33.0,53.0,47.0,54.0,49.0,32.0,33.0,32.0,41.0,45.0,41.0,39.0,37.0,31.0,40.0,42.0,30.0
50911,50911.0,38.0,40.0,40.0,40.0,38.0,55.0,39.0,39.0,52.0,36.0,40.0,33.0,53.0,47.0,54.0,49.0,32.0,33.0,32.0,41.0,45.0,41.0,39.0,37.0,31.0,40.0,42.0,30.0
50912,50912.0,38.0,40.0,40.0,40.0,38.0,55.0,40.0,40.0,52.0,36.0,41.0,33.0,53.0,47.0,55.0,49.0,32.0,33.0,32.0,41.0,45.0,41.0,39.0,37.0,31.0,40.0,42.0,30.0
50966,50966.0,40.0,41.0,50.0,40.0,55.0,39.0,53.0,48.0,40.0,29.0,32.0,25.0,41.0,44.0,42.0,42.0,35.0,47.0,35.0,42.0,40.0,31.0,51.0,29.0,36.0,46.0,36.0,36.0
