,vid,HG03453,HG01891,HG02559,HG01978,HG00673,HG00741,HG02486,HG00735,HG01258,HG01106,HG03516,HG03579,HG01123,HG03540,HG02622,HG02717,HG01928,HG01952,HG02572,HG02148,HG01358,HG02886,HG00438,HG01175,HG02630,HG00621,HG01361,HG02257
3,3.0,15.0,39.0,30.0,16.0,25.0,14.0,39.0,6.0,23.0,15.0,31.0,28.0,10.0,25.0,17.0,20.0,13.0,23.0,19.0,4.0,5.0,33.0,33.0,7.0,18.0,14.0,17.0,24.0
28,28.0,87.0,69.0,69.0,128.0,109.0,51.0,58.0,44.0,107.0,47.0,76.0,47.0,105.0,86.0,124.0,47.0,128.0,141.0,109.0,98.0,51.0,97.0,89.0,66.0,91.0,118.0,94.0,65.0
29,29.0,87.0,69.0,69.0,128.0,109.0,51.0,58.0,44.0,107.0,47.0,76.0,47.0,105.0,86.0,124.0,47.0,128.0,141.0,109.0,98.0,51.0,97.0,89.0,66.0,91.0,118.0,94.0,65.0
30,30.0,87.0,69.0,69.0,128.0,109.0,51.0,58.0,44.0,107.0,47.0,76.0,47.0,105.0,86.0,124.0,47.0,128.0,141.0,109.0,98.0,51.0,97.0,89.0,66.0,91.0,118.0,94.0,65.0
31,31.0,87.0,69.0,69.0,128.0,109.0,51.0,58.0,44.0,107.0,47.0,76.0,47.0,105.0,86.0,124.0,47.0,128.0,141.0,109.0,98.0,51.0,96.0,89.0,66.0,91.0,118.0,94.0,65.0
35,35.0,41.0,68.0,18.0,59.0,86.0,34.0,40.0,63.0,55.0,60.0,61.0,33.0,58.0,65.0,79.0,40.0,63.0,94.0,27.0,64.0,31.0,45.0,55.0,37.0,110.0,110.0,57.0,45.0
39,39.0,56.0,82.0,28.0,59.0,85.0,34.0,37.0,65.0,62.0,64.0,58.0,31.0,62.0,83.0,84.0,49.0,58.0,93.0,25.0,63.0,43.0,50.0,56.0,40.0,110.0,115.0,58.0,43.0
41,41.0,53.0,78.0,28.0,58.0,83.0,34.0,36.0,63.0,60.0,63.0,55.0,30.0,61.0,81.0,79.0,46.0,53.0,87.0,25.0,62.0,42.0,48.0,56.0,40.0,108.0,114.0,57.0,42.0
42,42.0,53.0,78.0,28.0,58.0,83.0,34.0,36.0,63.0,60.0,63.0,55.0,30.0,61.0,81.0,79.0,46.0,53.0,87.0,25.0,62.0,42.0,48.0,56.0,40.0,108.0,114.0,57.0,42.0
145,145.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0
146,146.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0
148,148.0,18.0,15.0,7.0,21.0,22.0,28.0,11.0,18.0,18.0,22.0,10.0,13.0,20.0,27.0,23.0,9.0,15.0,22.0,7.0,9.0,10.0,5.0,15.0,19.0,18.0,23.0,26.0,8.0
150,150.0,21.0,16.0,7.0,22.0,23.0,29.0,12.0,21.0,21.0,23.0,12.0,15.0,23.0,28.0,25.0,10.0,17.0,22.0,7.0,10.0,11.0,5.0,17.0,22.0,19.0,25.0,26.0,8.0
151,151.0,21.0,16.0,7.0,22.0,23.0,29.0,12.0,21.0,21.0,23.0,12.0,15.0,23.0,28.0,25.0,10.0,17.0,22.0,7.0,10.0,11.0,5.0,17.0,22.0,19.0,25.0,26.0,8.0
218,218.0,43.0,66.0,68.0,48.0,79.0,40.0,66.0,65.0,67.0,28.0,105.0,80.0,59.0,91.0,65.0,70.0,49.0,40.0,68.0,52.0,56.0,59.0,54.0,42.0,57.0,40.0,60.0,59.0
223,223.0,54.0,34.0,50.0,78.0,84.0,49.0,51.0,53.0,46.0,38.0,24.0,37.0,37.0,61.0,50.0,38.0,72.0,90.0,19.0,94.0,56.0,71.0,46.0,76.0,17.0,85.0,54.0,26.0
224,224.0,54.0,34.0,49.0,78.0,84.0,48.0,51.0,53.0,46.0,38.0,24.0,36.0,37.0,61.0,50.0,38.0,72.0,90.0,19.0,94.0,56.0,71.0,46.0,76.0,17.0,85.0,54.0,26.0
226,226.0,53.0,42.0,48.0,87.0,99.0,54.0,55.0,54.0,47.0,39.0,34.0,36.0,42.0,60.0,65.0,46.0,80.0,91.0,22.0,98.0,58.0,70.0,52.0,78.0,37.0,91.0,55.0,25.0
228,228.0,51.0,42.0,49.0,87.0,100.0,55.0,55.0,56.0,47.0,43.0,37.0,36.0,44.0,60.0,68.0,45.0,83.0,91.0,21.0,105.0,60.0,70.0,52.0,80.0,38.0,94.0,59.0,26.0
229,229.0,51.0,42.0,49.0,87.0,100.0,55.0,55.0,56.0,47.0,43.0,37.0,36.0,44.0,59.0,68.0,45.0,83.0,91.0,21.0,105.0,60.0,70.0,52.0,80.0,38.0,94.0,59.0,26.0
263,263.0,55.0,45.0,42.0,36.0,39.0,34.0,50.0,49.0,39.0,47.0,28.0,41.0,34.0,52.0,55.0,45.0,33.0,39.0,37.0,36.0,45.0,40.0,36.0,38.0,51.0,57.0,56.0,33.0
264,264.0,54.0,43.0,42.0,37.0,42.0,33.0,48.0,48.0,36.0,40.0,46.0,36.0,47.0,60.0,48.0,46.0,30.0,48.0,36.0,29.0,54.0,31.0,44.0,37.0,48.0,61.0,62.0,38.0
291,291.0,33.0,32.0,34.0,23.0,43.0,26.0,22.0,29.0,25.0,18.0,23.0,32.0,18.0,40.0,33.0,35.0,18.0,26.0,15.0,32.0,24.0,39.0,33.0,29.0,48.0,53.0,28.0,24.0
292,292.0,33.0,32.0,34.0,23.0,43.0,26.0,22.0,29.0,25.0,18.0,23.0,32.0,18.0,40.0,33.0,35.0,18.0,26.0,15.0,32.0,24.0,39.0,33.0,29.0,48.0,53.0,28.0,24.0
293,293.0,33.0,32.0,34.0,23.0,43.0,26.0,22.0,29.0,25.0,18.0,23.0,32.0,18.0,40.0,33.0,35.0,18.0,26.0,15.0,32.0,24.0,39.0,33.0,29.0,48.0,53.0,28.0,24.0
294,294.0,33.0,32.0,35.0,23.0,43.0,26.0,22.0,29.0,25.0,18.0,23.0,32.0,18.0,40.0,33.0,35.0,18.0,26.0,15.0,32.0,24.0,39.0,33.0,29.0,50.0,53.0,28.0,24.0
318,318.0,46.0,28.0,26.0,35.0,28.0,27.0,37.0,27.0,18.0,24.0,15.0,39.0,25.0,63.0,44.0,60.0,15.0,38.0,11.0,17.0,28.0,39.0,31.0,35.0,41.0,29.0,25.0,31.0
322,322.0,40.0,29.0,32.0,46.0,35.0,26.0,35.0,25.0,26.0,18.0,19.0,33.0,27.0,51.0,41.0,43.0,17.0,38.0,12.0,30.0,22.0,38.0,34.0,39.0,39.0,28.0,37.0,26.0
345,345.0,40.0,35.0,46.0,26.0,34.0,23.0,28.0,29.0,20.0,24.0,35.0,52.0,36.0,59.0,31.0,47.0,24.0,33.0,14.0,22.0,35.0,34.0,27.0,22.0,51.0,36.0,31.0,25.0
347,347.0,40.0,35.0,46.0,26.0,34.0,23.0,28.0,29.0,20.0,24.0,35.0,52.0,36.0,59.0,31.0,47.0,24.0,33.0,14.0,22.0,35.0,34.0,27.0,22.0,51.0,36.0,31.0,25.0
349,349.0,41.0,40.0,42.0,26.0,28.0,19.0,27.0,28.0,17.0,24.0,31.0,50.0,30.0,56.0,36.0,42.0,25.0,30.0,12.0,23.0,39.0,31.0,29.0,22.0,48.0,39.0,36.0,25.0
361,361.0,44.0,35.0,28.0,22.0,40.0,17.0,20.0,23.0,24.0,28.0,41.0,43.0,23.0,52.0,39.0,40.0,15.0,18.0,14.0,24.0,28.0,32.0,32.0,16.0,37.0,33.0,21.0,21.0
372,372.0,49.0,25.0,28.0,19.0,36.0,24.0,26.0,19.0,23.0,33.0,43.0,46.0,21.0,48.0,37.0,47.0,19.0,21.0,18.0,23.0,28.0,36.0,30.0,19.0,44.0,34.0,25.0,23.0
382,382.0,39.0,37.0,38.0,33.0,39.0,32.0,25.0,24.0,21.0,30.0,41.0,52.0,37.0,49.0,53.0,37.0,23.0,30.0,19.0,33.0,30.0,47.0,24.0,30.0,52.0,37.0,45.0,35.0
414,414.0,31.0,29.0,32.0,31.0,27.0,20.0,24.0,26.0,27.0,37.0,32.0,44.0,34.0,56.0,42.0,33.0,19.0,28.0,20.0,15.0,29.0,38.0,26.0,27.0,52.0,33.0,27.0,25.0
416,416.0,30.0,34.0,36.0,28.0,24.0,23.0,18.0,25.0,31.0,37.0,32.0,46.0,27.0,53.0,48.0,34.0,15.0,20.0,17.0,19.0,28.0,34.0,13.0,20.0,48.0,29.0,28.0,20.0
450,450.0,36.0,22.0,24.0,27.0,17.0,15.0,17.0,12.0,14.0,20.0,27.0,29.0,16.0,35.0,33.0,33.0,13.0,28.0,12.0,21.0,9.0,39.0,25.0,28.0,42.0,17.0,18.0,31.0
473,473.0,48.0,35.0,29.0,21.0,40.0,29.0,50.0,35.0,28.0,35.0,27.0,42.0,34.0,22.0,38.0,33.0,24.0,38.0,41.0,31.0,30.0,25.0,23.0,31.0,42.0,38.0,32.0,27.0
479,479.0,38.0,35.0,27.0,23.0,45.0,31.0,37.0,31.0,22.0,36.0,26.0,41.0,31.0,23.0,41.0,34.0,24.0,39.0,26.0,31.0,27.0,30.0,22.0,32.0,42.0,32.0,35.0,25.0
503,503.0,25.0,22.0,18.0,19.0,27.0,16.0,26.0,22.0,19.0,19.0,22.0,28.0,17.0,37.0,33.0,28.0,21.0,25.0,4.0,23.0,22.0,36.0,19.0,20.0,31.0,34.0,25.0,31.0
526,526.0,44.0,23.0,25.0,25.0,32.0,27.0,32.0,32.0,25.0,27.0,25.0,51.0,29.0,58.0,52.0,30.0,26.0,33.0,21.0,27.0,38.0,38.0,28.0,28.0,57.0,32.0,28.0,23.0
532,532.0,51.0,25.0,23.0,25.0,32.0,31.0,26.0,33.0,24.0,31.0,28.0,54.0,21.0,51.0,51.0,37.0,23.0,36.0,21.0,28.0,48.0,36.0,29.0,28.0,61.0,34.0,32.0,20.0
567,567.0,42.0,30.0,36.0,35.0,39.0,25.0,34.0,30.0,21.0,28.0,23.0,37.0,26.0,42.0,47.0,39.0,18.0,32.0,17.0,30.0,39.0,28.0,30.0,24.0,35.0,43.0,31.0,25.0
629,629.0,28.0,23.0,21.0,20.0,28.0,14.0,26.0,16.0,18.0,12.0,18.0,37.0,20.0,36.0,23.0,17.0,14.0,25.0,18.0,28.0,18.0,22.0,17.0,24.0,33.0,24.0,14.0,13.0
645,645.0,42.0,27.0,29.0,19.0,23.0,26.0,40.0,24.0,27.0,27.0,28.0,50.0,29.0,59.0,46.0,42.0,8.0,30.0,16.0,13.0,14.0,46.0,20.0,28.0,63.0,34.0,23.0,33.0
663,663.0,37.0,26.0,23.0,24.0,40.0,19.0,38.0,31.0,34.0,23.0,33.0,52.0,24.0,63.0,60.0,40.0,12.0,33.0,11.0,23.0,29.0,47.0,16.0,27.0,55.0,29.0,25.0,28.0
677,677.0,37.0,25.0,25.0,34.0,36.0,21.0,23.0,28.0,23.0,28.0,28.0,48.0,23.0,53.0,50.0,39.0,18.0,24.0,21.0,23.0,30.0,31.0,23.0,31.0,55.0,36.0,30.0,22.0
693,693.0,29.0,27.0,28.0,26.0,34.0,18.0,29.0,27.0,20.0,30.0,24.0,43.0,30.0,47.0,51.0,32.0,21.0,31.0,18.0,32.0,27.0,40.0,26.0,35.0,43.0,28.0,21.0,29.0
694,694.0,29.0,27.0,28.0,26.0,34.0,18.0,29.0,27.0,20.0,30.0,24.0,43.0,30.0,47.0,51.0,32.0,21.0,31.0,18.0,32.0,27.0,40.0,26.0,35.0,43.0,28.0,21.0,28.0
695,695.0,29.0,27.0,28.0,26.0,34.0,18.0,29.0,27.0,20.0,30.0,24.0,43.0,30.0,47.0,51.0,32.0,21.0,31.0,18.0,32.0,27.0,40.0,26.0,35.0,43.0,28.0,21.0,29.0
704,704.0,31.0,24.0,28.0,22.0,33.0,24.0,32.0,25.0,20.0,28.0,25.0,29.0,27.0,48.0,54.0,29.0,25.0,32.0,20.0,29.0,30.0,39.0,27.0,33.0,39.0,26.0,24.0,30.0
766,766.0,9.0,20.0,8.0,6.0,12.0,7.0,15.0,8.0,24.0,10.0,15.0,16.0,17.0,17.0,12.0,14.0,6.0,10.0,17.0,12.0,21.0,14.0,8.0,9.0,12.0,9.0,11.0,12.0
767,767.0,8.0,20.0,8.0,6.0,11.0,7.0,15.0,6.0,23.0,10.0,15.0,16.0,17.0,17.0,12.0,14.0,6.0,9.0,14.0,12.0,19.0,13.0,7.0,9.0,12.0,9.0,11.0,12.0
788,788.0,34.0,28.0,37.0,19.0,44.0,18.0,34.0,33.0,28.0,29.0,22.0,43.0,22.0,51.0,34.0,36.0,17.0,38.0,22.0,32.0,37.0,25.0,31.0,22.0,49.0,27.0,32.0,24.0
789,789.0,34.0,28.0,37.0,19.0,44.0,18.0,34.0,33.0,28.0,29.0,22.0,43.0,22.0,51.0,34.0,36.0,17.0,38.0,22.0,32.0,37.0,25.0,31.0,22.0,49.0,27.0,32.0,24.0
790,790.0,34.0,28.0,37.0,19.0,44.0,18.0,34.0,33.0,28.0,29.0,23.0,43.0,22.0,51.0,34.0,36.0,17.0,38.0,22.0,32.0,37.0,25.0,31.0,22.0,49.0,27.0,32.0,24.0
797,797.0,33.0,36.0,32.0,25.0,36.0,18.0,32.0,24.0,34.0,27.0,41.0,48.0,35.0,37.0,51.0,38.0,19.0,34.0,30.0,24.0,32.0,33.0,25.0,25.0,49.0,32.0,27.0,28.0
832,832.0,25.0,35.0,26.0,31.0,38.0,19.0,39.0,32.0,27.0,31.0,34.0,36.0,33.0,50.0,51.0,32.0,35.0,26.0,36.0,27.0,42.0,39.0,34.0,40.0,50.0,29.0,26.0,25.0
842,842.0,37.0,43.0,29.0,27.0,33.0,15.0,26.0,29.0,23.0,26.0,35.0,28.0,35.0,49.0,41.0,27.0,34.0,22.0,37.0,23.0,45.0,43.0,31.0,29.0,50.0,33.0,27.0,22.0
843,843.0,37.0,43.0,29.0,27.0,33.0,15.0,26.0,29.0,23.0,26.0,35.0,28.0,35.0,49.0,41.0,27.0,34.0,22.0,37.0,23.0,45.0,43.0,31.0,29.0,50.0,33.0,27.0,22.0
844,844.0,36.0,42.0,29.0,27.0,33.0,15.0,26.0,28.0,23.0,25.0,35.0,28.0,35.0,49.0,41.0,27.0,34.0,22.0,37.0,23.0,45.0,43.0,30.0,29.0,50.0,33.0,26.0,22.0
845,845.0,37.0,43.0,29.0,27.0,33.0,15.0,26.0,28.0,23.0,26.0,35.0,28.0,35.0,49.0,41.0,27.0,34.0,22.0,37.0,23.0,45.0,43.0,31.0,29.0,50.0,33.0,26.0,22.0
853,853.0,58.0,33.0,33.0,29.0,30.0,18.0,30.0,17.0,25.0,14.0,38.0,44.0,33.0,49.0,29.0,47.0,18.0,24.0,18.0,36.0,36.0,34.0,21.0,25.0,63.0,37.0,27.0,25.0
909,909.0,43.0,27.0,32.0,31.0,47.0,30.0,18.0,25.0,21.0,26.0,34.0,48.0,25.0,43.0,43.0,45.0,25.0,34.0,30.0,25.0,34.0,31.0,27.0,34.0,47.0,27.0,27.0,26.0
923,923.0,41.0,27.0,23.0,30.0,40.0,22.0,21.0,20.0,28.0,20.0,37.0,49.0,31.0,41.0,38.0,36.0,21.0,37.0,11.0,26.0,34.0,33.0,37.0,33.0,40.0,28.0,25.0,33.0
926,926.0,50.0,26.0,33.0,29.0,38.0,22.0,19.0,17.0,31.0,27.0,32.0,44.0,21.0,53.0,44.0,39.0,25.0,30.0,13.0,26.0,23.0,32.0,35.0,38.0,49.0,36.0,25.0,27.0
927,927.0,50.0,26.0,33.0,29.0,38.0,22.0,19.0,17.0,31.0,27.0,32.0,44.0,21.0,53.0,43.0,39.0,25.0,30.0,13.0,26.0,23.0,32.0,35.0,38.0,49.0,36.0,25.0,27.0
929,929.0,49.0,27.0,32.0,30.0,39.0,22.0,20.0,17.0,29.0,28.0,33.0,44.0,20.0,52.0,44.0,41.0,25.0,30.0,12.0,25.0,23.0,30.0,35.0,37.0,48.0,35.0,25.0,27.0
938,938.0,35.0,44.0,45.0,31.0,38.0,26.0,45.0,32.0,38.0,24.0,39.0,41.0,35.0,55.0,45.0,46.0,30.0,41.0,30.0,29.0,35.0,47.0,23.0,38.0,46.0,33.0,33.0,32.0
965,965.0,35.0,23.0,24.0,37.0,42.0,26.0,37.0,41.0,29.0,31.0,30.0,51.0,36.0,48.0,40.0,33.0,39.0,30.0,31.0,23.0,28.0,45.0,22.0,24.0,37.0,33.0,37.0,21.0
974,974.0,37.0,17.0,13.0,34.0,36.0,28.0,36.0,41.0,23.0,28.0,25.0,59.0,38.0,47.0,38.0,43.0,40.0,31.0,28.0,22.0,32.0,39.0,20.0,24.0,43.0,33.0,40.0,25.0
988,988.0,39.0,11.0,21.0,32.0,37.0,33.0,29.0,33.0,22.0,44.0,35.0,55.0,39.0,59.0,30.0,48.0,39.0,44.0,42.0,32.0,32.0,38.0,35.0,30.0,48.0,41.0,39.0,42.0
992,992.0,36.0,29.0,18.0,30.0,40.0,30.0,28.0,33.0,26.0,41.0,26.0,43.0,31.0,56.0,56.0,43.0,37.0,38.0,32.0,37.0,30.0,43.0,34.0,29.0,53.0,33.0,29.0,47.0
995,995.0,35.0,29.0,18.0,32.0,42.0,31.0,28.0,33.0,27.0,41.0,24.0,42.0,31.0,57.0,54.0,43.0,36.0,35.0,32.0,36.0,29.0,42.0,38.0,27.0,52.0,32.0,28.0,42.0
1065,1065.0,21.0,27.0,29.0,18.0,25.0,13.0,29.0,21.0,20.0,14.0,20.0,35.0,24.0,38.0,20.0,35.0,17.0,20.0,8.0,24.0,22.0,33.0,13.0,24.0,31.0,17.0,25.0,28.0
1068,1068.0,21.0,25.0,28.0,17.0,25.0,13.0,29.0,21.0,21.0,14.0,19.0,34.0,23.0,36.0,20.0,34.0,16.0,19.0,8.0,24.0,19.0,31.0,13.0,23.0,30.0,18.0,24.0,27.0
1069,1069.0,18.0,18.0,21.0,15.0,20.0,9.0,20.0,12.0,16.0,9.0,18.0,28.0,16.0,21.0,17.0,17.0,11.0,15.0,5.0,24.0,12.0,22.0,10.0,21.0,22.0,13.0,14.0,14.0
1072,1072.0,18.0,18.0,21.0,15.0,20.0,9.0,20.0,12.0,16.0,9.0,18.0,28.0,16.0,21.0,17.0,17.0,11.0,15.0,5.0,24.0,12.0,22.0,10.0,21.0,22.0,13.0,14.0,14.0
1158,1158.0,43.0,34.0,24.0,17.0,28.0,20.0,27.0,22.0,33.0,18.0,26.0,44.0,32.0,51.0,34.0,36.0,25.0,29.0,20.0,21.0,38.0,28.0,22.0,17.0,37.0,26.0,40.0,38.0
1284,1284.0,48.0,34.0,30.0,22.0,29.0,20.0,33.0,24.0,28.0,26.0,16.0,52.0,16.0,50.0,40.0,42.0,24.0,37.0,18.0,31.0,27.0,32.0,25.0,37.0,54.0,41.0,26.0,29.0
1286,1286.0,42.0,30.0,24.0,29.0,30.0,21.0,31.0,35.0,21.0,21.0,29.0,48.0,21.0,46.0,36.0,36.0,22.0,33.0,7.0,23.0,32.0,43.0,22.0,30.0,49.0,38.0,33.0,25.0
1323,1323.0,46.0,35.0,36.0,24.0,33.0,26.0,26.0,20.0,16.0,29.0,31.0,44.0,25.0,50.0,31.0,35.0,17.0,28.0,22.0,28.0,27.0,36.0,29.0,24.0,62.0,29.0,35.0,38.0
1359,1359.0,38.0,22.0,26.0,28.0,25.0,17.0,26.0,17.0,30.0,21.0,22.0,32.0,28.0,40.0,41.0,24.0,15.0,17.0,15.0,28.0,22.0,37.0,23.0,21.0,43.0,25.0,31.0,19.0
1360,1360.0,30.0,21.0,25.0,23.0,20.0,16.0,25.0,15.0,28.0,18.0,23.0,33.0,25.0,37.0,38.0,25.0,15.0,16.0,14.0,28.0,20.0,36.0,22.0,20.0,41.0,24.0,30.0,13.0
1361,1361.0,30.0,21.0,25.0,23.0,20.0,16.0,25.0,15.0,28.0,18.0,23.0,33.0,25.0,37.0,38.0,25.0,15.0,16.0,14.0,28.0,20.0,36.0,22.0,20.0,41.0,24.0,30.0,13.0
1481,1481.0,39.0,22.0,34.0,32.0,26.0,29.0,21.0,29.0,25.0,34.0,32.0,55.0,33.0,52.0,38.0,44.0,21.0,25.0,17.0,19.0,32.0,34.0,30.0,26.0,57.0,39.0,32.0,32.0
1515,1515.0,47.0,33.0,26.0,36.0,37.0,18.0,24.0,30.0,21.0,24.0,27.0,46.0,33.0,60.0,38.0,45.0,21.0,33.0,22.0,27.0,28.0,39.0,29.0,26.0,60.0,32.0,35.0,25.0
2070,2070.0,36.0,26.0,50.0,24.0,36.0,27.0,32.0,30.0,24.0,27.0,35.0,58.0,34.0,38.0,42.0,46.0,20.0,36.0,21.0,29.0,37.0,28.0,26.0,29.0,54.0,34.0,46.0,35.0
2197,2197.0,54.0,34.0,42.0,22.0,38.0,28.0,33.0,37.0,23.0,26.0,33.0,46.0,50.0,56.0,54.0,39.0,28.0,24.0,25.0,35.0,32.0,40.0,31.0,38.0,58.0,47.0,49.0,27.0
2199,2199.0,49.0,38.0,41.0,27.0,45.0,26.0,29.0,33.0,25.0,30.0,31.0,45.0,46.0,54.0,59.0,43.0,27.0,27.0,27.0,35.0,36.0,40.0,33.0,38.0,65.0,49.0,47.0,36.0
2276,2276.0,40.0,19.0,30.0,26.0,31.0,22.0,43.0,38.0,33.0,36.0,32.0,37.0,33.0,47.0,36.0,47.0,17.0,40.0,31.0,20.0,29.0,38.0,29.0,39.0,46.0,31.0,41.0,31.0
2287,2287.0,36.0,40.0,34.0,35.0,42.0,15.0,31.0,26.0,28.0,46.0,40.0,32.0,25.0,60.0,53.0,37.0,18.0,40.0,9.0,34.0,33.0,36.0,31.0,40.0,51.0,45.0,25.0,25.0
2306,2306.0,46.0,34.0,24.0,44.0,38.0,31.0,41.0,36.0,26.0,37.0,25.0,47.0,32.0,51.0,49.0,42.0,31.0,39.0,38.0,47.0,39.0,30.0,36.0,25.0,63.0,39.0,48.0,34.0
2329,2329.0,34.0,39.0,38.0,31.0,42.0,25.0,35.0,33.0,25.0,28.0,24.0,35.0,27.0,53.0,56.0,36.0,33.0,41.0,28.0,35.0,25.0,34.0,28.0,32.0,45.0,29.0,35.0,20.0
2405,2405.0,28.0,30.0,33.0,19.0,34.0,34.0,29.0,35.0,27.0,27.0,27.0,34.0,35.0,47.0,39.0,29.0,27.0,34.0,34.0,31.0,27.0,28.0,25.0,31.0,35.0,27.0,36.0,28.0
2703,2703.0,44.0,41.0,39.0,29.0,46.0,32.0,42.0,33.0,33.0,35.0,35.0,43.0,37.0,52.0,31.0,48.0,29.0,37.0,29.0,41.0,35.0,34.0,31.0,27.0,34.0,39.0,43.0,28.0
2717,2717.0,38.0,34.0,37.0,26.0,41.0,35.0,45.0,29.0,26.0,32.0,36.0,38.0,35.0,43.0,47.0,41.0,28.0,38.0,19.0,24.0,37.0,38.0,35.0,33.0,38.0,28.0,33.0,37.0
2874,2874.0,41.0,38.0,51.0,31.0,41.0,43.0,31.0,42.0,40.0,45.0,29.0,38.0,50.0,59.0,43.0,56.0,37.0,40.0,32.0,33.0,49.0,29.0,32.0,37.0,36.0,33.0,42.0,35.0
3094,3094.0,59.0,36.0,42.0,44.0,47.0,45.0,44.0,40.0,50.0,41.0,33.0,49.0,35.0,56.0,58.0,59.0,38.0,54.0,28.0,38.0,46.0,23.0,27.0,37.0,54.0,40.0,46.0,37.0
3333,3333.0,44.0,40.0,28.0,48.0,34.0,27.0,35.0,37.0,31.0,25.0,24.0,50.0,44.0,71.0,27.0,52.0,32.0,28.0,23.0,39.0,41.0,44.0,17.0,36.0,62.0,35.0,35.0,25.0
3363,3363.0,40.0,18.0,29.0,38.0,29.0,32.0,30.0,27.0,34.0,27.0,25.0,35.0,26.0,51.0,40.0,61.0,30.0,34.0,28.0,37.0,28.0,35.0,32.0,27.0,41.0,37.0,27.0,30.0
3483,3483.0,45.0,38.0,38.0,41.0,33.0,25.0,31.0,34.0,21.0,33.0,49.0,48.0,29.0,59.0,52.0,46.0,31.0,32.0,20.0,36.0,34.0,49.0,24.0,32.0,49.0,50.0,43.0,33.0
3492,3492.0,56.0,42.0,45.0,41.0,36.0,31.0,37.0,28.0,40.0,24.0,34.0,46.0,26.0,48.0,61.0,48.0,30.0,26.0,19.0,31.0,24.0,39.0,29.0,35.0,57.0,48.0,50.0,34.0
3586,3586.0,42.0,25.0,35.0,25.0,32.0,18.0,18.0,37.0,22.0,26.0,41.0,31.0,28.0,42.0,51.0,29.0,34.0,33.0,30.0,30.0,29.0,32.0,38.0,33.0,55.0,30.0,34.0,22.0
3610,3610.0,40.0,39.0,39.0,29.0,38.0,35.0,24.0,27.0,43.0,29.0,26.0,56.0,39.0,57.0,36.0,45.0,18.0,37.0,11.0,34.0,24.0,35.0,24.0,33.0,57.0,35.0,35.0,33.0
3614,3614.0,44.0,50.0,34.0,34.0,39.0,34.0,23.0,27.0,42.0,24.0,32.0,56.0,25.0,51.0,37.0,51.0,23.0,31.0,11.0,37.0,30.0,39.0,24.0,30.0,56.0,31.0,40.0,44.0
3626,3626.0,36.0,38.0,22.0,24.0,39.0,19.0,29.0,33.0,26.0,27.0,29.0,47.0,32.0,49.0,39.0,29.0,24.0,43.0,18.0,31.0,23.0,37.0,25.0,30.0,47.0,33.0,23.0,36.0
3627,3627.0,36.0,37.0,22.0,24.0,39.0,19.0,28.0,33.0,26.0,27.0,29.0,47.0,32.0,49.0,39.0,29.0,24.0,43.0,18.0,31.0,23.0,37.0,25.0,30.0,47.0,33.0,23.0,36.0
3628,3628.0,36.0,38.0,22.0,24.0,39.0,19.0,30.0,33.0,26.0,27.0,29.0,47.0,32.0,49.0,39.0,29.0,24.0,43.0,18.0,31.0,23.0,37.0,25.0,30.0,47.0,33.0,23.0,36.0
4226,4226.0,48.0,38.0,34.0,42.0,46.0,36.0,42.0,39.0,35.0,34.0,49.0,54.0,34.0,42.0,58.0,56.0,34.0,29.0,31.0,40.0,35.0,37.0,25.0,41.0,53.0,54.0,39.0,33.0
4237,4237.0,43.0,36.0,32.0,43.0,44.0,38.0,44.0,42.0,34.0,43.0,49.0,56.0,48.0,45.0,56.0,52.0,37.0,49.0,30.0,44.0,49.0,38.0,34.0,38.0,35.0,42.0,45.0,52.0
4290,4290.0,29.0,33.0,26.0,33.0,42.0,26.0,30.0,37.0,35.0,27.0,28.0,47.0,29.0,52.0,35.0,45.0,24.0,37.0,20.0,37.0,35.0,32.0,30.0,43.0,30.0,36.0,39.0,39.0
4341,4341.0,51.0,39.0,35.0,40.0,36.0,40.0,32.0,38.0,28.0,42.0,30.0,44.0,39.0,42.0,48.0,37.0,29.0,34.0,31.0,45.0,38.0,30.0,42.0,34.0,27.0,32.0,30.0,38.0
4342,4342.0,51.0,39.0,35.0,40.0,36.0,40.0,32.0,38.0,28.0,42.0,30.0,44.0,39.0,42.0,48.0,37.0,29.0,34.0,31.0,45.0,38.0,30.0,42.0,34.0,27.0,32.0,29.0,38.0
4509,4509.0,29.0,39.0,34.0,31.0,37.0,29.0,31.0,27.0,28.0,35.0,29.0,35.0,26.0,51.0,40.0,45.0,20.0,37.0,14.0,28.0,30.0,31.0,23.0,35.0,48.0,39.0,39.0,25.0
4511,4511.0,30.0,42.0,33.0,32.0,36.0,30.0,30.0,29.0,29.0,33.0,31.0,34.0,29.0,53.0,41.0,47.0,20.0,40.0,16.0,27.0,33.0,33.0,23.0,37.0,52.0,39.0,38.0,25.0
